response_id,submitted_at,program,school,volunteer_name,volunteer_email,employer,role_this_year,q1_overall_satisfaction,q2_would_recommend,q3_felt_prepared,q4_volunteer_again,q5_what_went_well,q6_what_could_improve,q7_anything_else,opt_in_contact
JA-24094,2026-04-06T15:30,JA Career Speaker Series,Blackhawk MS,Nate Sandoval,nate.sandoval@foundry.com,Foundry Digital Agency,Site Lead,5,5,3,,Loved the hands-on parts.,No comment,Fantastic program. The kids were so engaged the entire time.,Yes
JA-24095,2025-11-07T07:46,JA in a Day,Memorial Park MS,Naomi Lindqvist,naomi.lindqvist@foundry.com,Foundry Digital Agency,Classroom Volunteer,1,2,3,Maybe,The materials were clear.,I was scheduled for a grade level I wasn't prepared for.,Too much content for the time allotted. Felt rushed the whole time.,
JA-24096,2026-02-08T21:54,JA BizTown,Snider HS,Alexis Ulrich,alexis.ulrich@kestrel.com,Kestrel Engineering,Site Lead,4,3,3,,,No comment,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24097,2026-03-23T09:26,JA BizTown,Memorial Park MS,Ibrahim Boone,ibrahim.boone@foundry.com,Foundry Digital Agency,Board/Committee Prospect,5,3,5,No,The materials were clear.,-,Good,Yes
JA-24098,2026-03-16T19:44,JA Inspire,Lakeside MS,Tomas Ashby,tomas.ashby@cardinal.com,Cardinal Trust Bank,Career Speaker,5,5,5,Yes,The materials were clear.,More time with the students.,Nothing to add,Yes
JA-24099,2025-09-29T12:43,JA Finance Park,Homestead HS,Erin Okafor,erin.okafor@summit.com,Summit Financial Group,Career Speaker,3,1,1,No,The students were engaged.,None,I was scheduled for a grade level I wasn't prepared for.,Yes
JA-24100,2026-01-09T08:57,JA in a Day,Lakeside MS,Marcus Ashby,marcus.ashby@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,5,4,4,Maybe,Good structure.,Good,Wonderful. Thank you for the opportunity.,Yes
JA-24101,2026-05-28T19:05,JA Inspire,Lakeside MS,Talia Brennan,talia.brennan@cardinal.com,Cardinal Trust Bank,Board/Committee Prospect,4,4,5,Yes,Good structure.,Fine.,"Possibly next year, depending on my travel schedule.",Yes
JA-24102,2025-09-09T07:32,JA Finance Park,Woodside MS,Colin Ashby,colin.ashby@three.com,Three Rivers Credit Union,Event Volunteer,4,3,5,,Loved the hands-on parts.,Parking was a nightmare and no one met me at the door.,,
JA-24103,2026-03-03T13:52,JA in a Day,Lakeside MS,Dana Petrosyan,dana.petrosyan@maplewood.com,Maplewood Health Partners,Event Volunteer,4,4,3,Yes,,None,I had a lot of fun and I think the students got a lot out of it.,
JA-24104,2026-06-24T11:16,JA Finance Park,Snider HS,Priya Zabel,priya.zabel@summit.com,Summit Financial Group,Event Volunteer,3,4,4,Yes,Staff support was excellent.,Nothing - it was well organized.,,Yes
JA-24105,2026-04-13T12:43,JA in a Day,Northrop HS,Colin Zabel,colin.zabel@ridgeline.com,Ridgeline Manufacturing,Career Speaker,5,5,2,,Good structure.,N/A,Best volunteer experience I've had in years.,
JA-24106,2025-10-09T20:10,JA in a Day,Lakeside MS,Simone Kowalski,simone.kowalski@summit.com,Summit Financial Group,Board/Committee Prospect,3,5,2,Maybe,Staff support was excellent.,I was scheduled for a grade level I wasn't prepared for.,,Yes
JA-24107,2025-12-24T09:29,JA Inspire,Lakeside MS,Bianca Ikeda,bianca.ikeda@harrison.com,Harrison & Locke LLP,Site Lead,4,3,3,Yes,The materials were clear.,-,Excellent experience from start to finish.,Yes
JA-24108,2026-02-15T17:03,JA Career Speaker Series,Leo JR/SR HS,Brett Dupree,brett.dupree@summit.com,Summit Financial Group,Event Volunteer,4,5,4,Maybe,Staff support was excellent.,Good program.,"Possibly next year, depending on my travel schedule.",No
JA-24109,2026-01-25T15:41,JA Company Program,Carroll MS,Jordan Lindqvist,jordan.lindqvist@kestrel.com,Kestrel Engineering,Event Volunteer,5,4,5,,,Good,Really well run. Thank you for everything you do.,
JA-24110,2025-10-26T21:24,JA Inspire,Homestead HS,Marcus Escobar,marcus.escobar@bluffton.com,Bluffton Steel Works,Event Volunteer,3,2,3,No,The students were engaged.,Nothing to add,Parking was a nightmare and no one met me at the door.,
JA-24111,2026-04-29T09:50,JA Finance Park,Blackhawk MS,Reggie Nunez,reggie.nunez@summit.com,Summit Financial Group,Career Speaker,4,5,4,,Staff support was excellent.,Parking was a nightmare and no one met me at the door.,My employer has a community giving budget and I think this would be a great fit. Happy to make an introduction.,Yes
JA-24112,2026-01-28T16:03,JA Company Program,Snider HS,Marcus Jarrett,marcus.jarrett@maplewood.com,Maplewood Health Partners,Career Speaker,4,3,2,Maybe,Staff support was excellent.,The materials arrived late and I had to improvise the first hour.,Wonderful. Thank you for the opportunity.,No
JA-24113,2026-02-03T11:53,JA BizTown,Northrop HS,Tomas Quintero,tomas.quintero@foundry.com,Foundry Digital Agency,Board/Committee Prospect,4,4,4,,Good structure.,Parking was a nightmare and no one met me at the door.,"Depends on work, but keep me on the email list.",Yes
JA-24114,2026-02-04T17:09,JA BizTown,Wayne HS,Tomas Marsh,tomas.marsh@three.com,Three Rivers Credit Union,Classroom Volunteer,5,3,4,,The students were engaged.,Good program.,Nothing to add,Yes
JA-24115,2026-05-07T20:41,JA Finance Park,Blackhawk MS,Pierre Kowalski,pierre.kowalski@northgate.com,Northgate Logistics,Site Lead,5,4,3,Maybe,The materials were clear.,The materials arrived late and I had to improvise the first hour.,Maybe in the spring - fall is hard for me.,
JA-24116,2026-05-22T09:05,JA Career Speaker Series,Memorial Park MS,Renee Kowalski,renee.kowalski@wabash.com,Wabash Valley Energy,Career Speaker,5,3,5,Maybe,Staff support was excellent.,,Excellent experience from start to finish.,Yes
